Year,OBS_STATUS,UNIT_MULT,BASE_PER,SOURCE_DETAIL,SERIES,REF_AREA,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2015,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,204,ISIC4_C,PT,2025-02-26T00:00:00,2024,10.04
2016,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,204,ISIC4_C,PT,2025-02-26T00:00:00,2024,10.34
2017,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,204,ISIC4_C,PT,2025-02-26T00:00:00,2024,9.73
2018,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,204,ISIC4_C,PT,2025-02-26T00:00:00,2024,9.46
2019,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,204,ISIC4_C,PT,2025-02-26T00:00:00,2024,9.85
2020,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,204,ISIC4_C,PT,2025-02-26T00:00:00,2024,9.8
2021,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,204,ISIC4_C,PT,2025-02-26T00:00:00,2024,9.61
2022,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,204,ISIC4_C,PT,2025-02-26T00:00:00,2024,9.7
2023,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,204,ISIC4_C,PT,2025-02-26T00:00:00,2024,9.77
2024,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,204,ISIC4_C,PT,2025-02-26T00:00:00,2024,9.48
2000,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,204,ISIC4_C,PT,2025-02-27T00:00:00,2023,13.98
2001,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,204,ISIC4_C,PT,2025-02-27T00:00:00,2023,15.64
2002,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,204,ISIC4_C,PT,2025-02-27T00:00:00,2023,15.64
2003,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,204,ISIC4_C,PT,2025-02-27T00:00:00,2023,15.75
2004,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,204,ISIC4_C,PT,2025-02-27T00:00:00,2023,14.81
2005,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,204,ISIC4_C,PT,2025-02-27T00:00:00,2023,15.67
2006,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,204,ISIC4_C,PT,2025-02-27T00:00:00,2023,15.44
2007,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,204,ISIC4_C,PT,2025-02-27T00:00:00,2023,13.74
2008,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,204,ISIC4_C,PT,2025-02-27T00:00:00,2023,12.25
2009,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,204,ISIC4_C,PT,2025-02-27T00:00:00,2023,12.22
2010,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,204,ISIC4_C,PT,2025-02-27T00:00:00,2023,11.74
2011,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,204,ISIC4_C,PT,2025-02-27T00:00:00,2023,11.73
2012,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,204,ISIC4_C,PT,2025-02-27T00:00:00,2023,10.71
2013,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,204,ISIC4_C,PT,2025-02-27T00:00:00,2023,10.92
2014,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,204,ISIC4_C,PT,2025-02-27T00:00:00,2023,10.39
2015,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,204,ISIC4_C,PT,2025-02-27T00:00:00,2023,10.04
2016,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,204,ISIC4_C,PT,2025-02-27T00:00:00,2023,9.93
2017,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,204,ISIC4_C,PT,2025-02-27T00:00:00,2023,9.62
2018,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,204,ISIC4_C,PT,2025-02-27T00:00:00,2023,9.16
2019,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,204,ISIC4_C,PT,2025-02-27T00:00:00,2023,9.87
2020,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,204,ISIC4_C,PT,2025-02-27T00:00:00,2023,9.69
2021,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,204,ISIC4_C,PT,2025-02-27T00:00:00,2023,9.48
2022,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,204,ISIC4_C,PT,2025-02-27T00:00:00,2023,9.82
2023,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,204,ISIC4_C,PT,2025-02-27T00:00:00,2023,10.06
2000,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,204,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,124.26
2001,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,204,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,131.62
2002,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,204,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,131.01
2003,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,204,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,128.45
2004,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,204,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,124.65
2005,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,204,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,128.7
2006,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,204,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,128.58
2007,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,204,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,119.69
2008,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,204,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,101.65
2009,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,204,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,99.42
2010,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,204,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,96.13
2011,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,204,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,93.65
2012,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,204,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,91.23
2013,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,204,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,92.47
2014,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,204,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,97.52
2015,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,204,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,100.6
2016,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,204,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,103.98
2017,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,204,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,100.46
2018,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,204,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,101.38
2019,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,204,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,109.75
2020,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,204,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,110.46
2021,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,204,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,113.06
2022,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,204,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,118.23
2023,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,204,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,123.44
2024,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,204,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,124.43
