Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2013,A,0,99,55.5975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,U,PT,2025-06-18T00:00:00,2023,83.6
2014,A,0,99,55.5975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,U,PT,2025-06-18T00:00:00,2023,84.05
2015,A,0,99,55.5975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,U,PT,2025-06-18T00:00:00,2023,84.5
2016,A,0,99,55.5975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,U,PT,2025-06-18T00:00:00,2023,84.8
2017,A,0,99,55.5975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,U,PT,2025-06-18T00:00:00,2023,84.9
2018,A,0,99,55.5975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,U,PT,2025-06-18T00:00:00,2023,85.5
2019,A,0,99,55.5975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,U,PT,2025-06-18T00:00:00,2023,85.7
2020,A,0,99,55.5975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,U,PT,2025-06-18T00:00:00,2023,85.9
2021,A,0,99,55.5975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,U,PT,2025-06-18T00:00:00,2023,86.0
2022,A,0,99,55.5975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,U,PT,2025-06-18T00:00:00,2023,86.2
2023,A,0,99,55.5975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,U,PT,2025-06-18T00:00:00,2023,86.4
