Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,DISABILITY_STATUS,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEMDIS,204,F,Y_GE15,None,PT,2025-03-15T00:00:00,2022,1.33
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEMDIS,204,F,Y_GE15,None,PT,2025-03-15T00:00:00,2022,1.49
2013,A,0,Repository: ILO-STATISTICS - Micro data processing,PC - Population projections and Revised Studies on Social Demand 2002-2030,SL_TLF_UEMDIS,204,F,Y_GE15,PD,PT,2025-03-15T00:00:00,2013,2.14
2013,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEMDIS,204,F,Y_GE15,PWD,PT,2025-03-15T00:00:00,2022,1.85
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEMDIS,204,F,Y_GE15,PWD,PT,2025-03-15T00:00:00,2022,1.36
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEMDIS,204,F,Y_GE15,PWD,PT,2025-03-15T00:00:00,2022,1.5
2013,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEMDIS,204,M,Y_GE15,None,PT,2025-03-15T00:00:00,2022,2.44
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEMDIS,204,M,Y_GE15,None,PT,2025-03-15T00:00:00,2022,1.09
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEMDIS,204,M,Y_GE15,None,PT,2025-03-15T00:00:00,2022,1.89
2013,A,0,Repository: ILO-STATISTICS - Micro data processing,PC - Population projections and Revised Studies on Social Demand 2002-2030,SL_TLF_UEMDIS,204,M,Y_GE15,PD,PT,2025-03-15T00:00:00,2013,2.61
2013,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEMDIS,204,M,Y_GE15,PWD,PT,2025-03-15T00:00:00,2022,2.43
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEMDIS,204,M,Y_GE15,PWD,PT,2025-03-15T00:00:00,2022,1.07
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEMDIS,204,M,Y_GE15,PWD,PT,2025-03-15T00:00:00,2022,1.93
