Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2015,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_ARMS,PT,2025-03-26T00:00:00,2023,0.48921
2016,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_ARMS,PT,2025-03-26T00:00:00,2023,0.48921
2017,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_ARMS,PT,2025-03-26T00:00:00,2023,0.48921
2018,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_ARMS,PT,2025-03-26T00:00:00,2023,0.48919
2019,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_ARMS,PT,2025-03-26T00:00:00,2023,1.53579
2020,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_ARMS,PT,2025-03-26T00:00:00,2023,1.53579
2021,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_ARMS,PT,2025-03-26T00:00:00,2023,1.53579
2022,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_ARMS,PT,2025-03-26T00:00:00,2023,1.53579
2023,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_ARMS,PT,2025-03-26T00:00:00,2023,1.53579
2000,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_CLTH,PT,2025-03-26T00:00:00,2023,13.57837
2005,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_CLTH,PT,2025-03-26T00:00:00,2023,12.61539
2010,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_CLTH,PT,2025-03-26T00:00:00,2023,12.51531
2011,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_CLTH,PT,2025-03-26T00:00:00,2023,12.51527
2012,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_CLTH,PT,2025-03-26T00:00:00,2023,12.5153
2013,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_CLTH,PT,2025-03-26T00:00:00,2023,12.51187
2014,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_CLTH,PT,2025-03-26T00:00:00,2023,12.59145
2015,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_CLTH,PT,2025-03-26T00:00:00,2023,12.44757
2016,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_CLTH,PT,2025-03-26T00:00:00,2023,12.44703
2017,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_CLTH,PT,2025-03-26T00:00:00,2023,12.3149
2018,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_CLTH,PT,2025-03-26T00:00:00,2023,12.4236
2019,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_CLTH,PT,2025-03-26T00:00:00,2023,12.30281
2020,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_CLTH,PT,2025-03-26T00:00:00,2023,12.30155
2021,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_CLTH,PT,2025-03-26T00:00:00,2023,12.30289
2022,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_CLTH,PT,2025-03-26T00:00:00,2023,12.30147
