Year,OBS_STATUS,UNIT_MULT,BASE_PER,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2015,A,0,2021,"Accessed June 5, 2025. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated. Defined as the percentage of the population living on less than $3.00 a day at 2021 international prices.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,72,None,None,U,PT,2025-08-11T00:00:00,2015,14.40657
2002,A,0,2021,"Accessed June 5, 2025. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated. Defined as the percentage of the population living on less than $3.00 a day at 2021 international prices.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,72,None,Y_GE65,None,PT,2025-08-11T00:00:00,2015,42.29221
2009,A,0,2021,"Accessed June 5, 2025. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated. Defined as the percentage of the population living on less than $3.00 a day at 2021 international prices.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,72,None,Y_GE65,None,PT,2025-08-11T00:00:00,2015,19.40709
2015,A,0,2021,"Accessed June 5, 2025. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated. Defined as the percentage of the population living on less than $3.00 a day at 2021 international prices.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,72,None,Y_GE65,None,PT,2025-08-11T00:00:00,2015,22.74972
2002,A,0,2021,"Accessed June 5, 2025. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated. Defined as the percentage of the population living on less than $3.00 a day at 2021 international prices.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,72,None,Y0T14,None,PT,2025-08-11T00:00:00,2015,41.62708
2009,A,0,2021,"Accessed June 5, 2025. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated. Defined as the percentage of the population living on less than $3.00 a day at 2021 international prices.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,72,None,Y0T14,None,PT,2025-08-11T00:00:00,2015,28.58841
2015,A,0,2021,"Accessed June 5, 2025. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated. Defined as the percentage of the population living on less than $3.00 a day at 2021 international prices.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,72,None,Y0T14,None,PT,2025-08-11T00:00:00,2015,29.25815
2002,A,0,2021,"Accessed June 5, 2025. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated. Defined as the percentage of the population living on less than $3.00 a day at 2021 international prices.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,72,None,Y15T64,None,PT,2025-08-11T00:00:00,2015,29.45008
2009,A,0,2021,"Accessed June 5, 2025. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated. Defined as the percentage of the population living on less than $3.00 a day at 2021 international prices.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,72,None,Y15T64,None,PT,2025-08-11T00:00:00,2015,17.0268
2015,A,0,2021,"Accessed June 5, 2025. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated. Defined as the percentage of the population living on less than $3.00 a day at 2021 international prices.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,72,None,Y15T64,None,PT,2025-08-11T00:00:00,2015,16.73374
2002,A,0,2021,"Accessed June 5, 2025. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated. Defined as the percentage of the population living on less than $3.00 a day at 2021 international prices.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,72,F,None,None,PT,2025-08-11T00:00:00,2015,35.34061
2009,A,0,2021,"Accessed June 5, 2025. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated. Defined as the percentage of the population living on less than $3.00 a day at 2021 international prices.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,72,F,None,None,PT,2025-08-11T00:00:00,2015,22.20002
2015,A,0,2021,"Accessed June 5, 2025. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated. Defined as the percentage of the population living on less than $3.00 a day at 2021 international prices.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,72,F,None,None,PT,2025-08-11T00:00:00,2015,21.93059
2002,A,0,2021,"Accessed June 5, 2025. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated. Defined as the percentage of the population living on less than $3.00 a day at 2021 international prices.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,72,M,None,None,PT,2025-08-11T00:00:00,2015,34.20171
2009,A,0,2021,"Accessed June 5, 2025. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated. Defined as the percentage of the population living on less than $3.00 a day at 2021 international prices.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,72,M,None,None,PT,2025-08-11T00:00:00,2015,19.83316
2015,A,0,2021,"Accessed June 5, 2025. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated. Defined as the percentage of the population living on less than $3.00 a day at 2021 international prices.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,72,M,None,None,PT,2025-08-11T00:00:00,2015,20.72974
