Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2021,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_CLTH,PT,2025-03-26T00:00:00,2023,10.46296
2022,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_CLTH,PT,2025-03-26T00:00:00,2023,10.46295
2023,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_CLTH,PT,2025-03-26T00:00:00,2023,10.46295
2000,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_IND,PT,2025-03-26T00:00:00,2023,2.08024
2005,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_IND,PT,2025-03-26T00:00:00,2023,1.96481
2010,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_IND,PT,2025-03-26T00:00:00,2023,1.75632
2011,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_IND,PT,2025-03-26T00:00:00,2023,1.69707
2012,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_IND,PT,2025-03-26T00:00:00,2023,1.68497
2013,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_IND,PT,2025-03-26T00:00:00,2023,1.73113
2014,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_IND,PT,2025-03-26T00:00:00,2023,1.65885
2015,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_IND,PT,2025-03-26T00:00:00,2023,1.51549
2016,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_IND,PT,2025-03-26T00:00:00,2023,1.52547
2017,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_IND,PT,2025-03-26T00:00:00,2023,1.61882
2018,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_IND,PT,2025-03-26T00:00:00,2023,1.65185
2019,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_IND,PT,2025-03-26T00:00:00,2023,1.568
2020,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_IND,PT,2025-03-26T00:00:00,2023,1.59722
2021,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_IND,PT,2025-03-26T00:00:00,2023,1.59871
2022,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_IND,PT,2025-03-26T00:00:00,2023,1.55965
2023,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_IND,PT,2025-03-26T00:00:00,2023,1.5594
2000,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_TXT,PT,2025-03-26T00:00:00,2023,6.13409
2005,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_TXT,PT,2025-03-26T00:00:00,2023,5.382
2010,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_TXT,PT,2025-03-26T00:00:00,2023,5.18545
2011,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_TXT,PT,2025-03-26T00:00:00,2023,5.17778
2012,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_TXT,PT,2025-03-26T00:00:00,2023,5.17307
