Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2002,A,0,37.7,13.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,M,Y0T4,PT,2025-03-27T00:00:00,2024,33.2
2003,A,0,37.7,13.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,M,Y0T4,PT,2025-03-27T00:00:00,2024,33.0
2004,A,0,37.7,13.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,M,Y0T4,PT,2025-03-27T00:00:00,2024,32.7
2005,A,0,37.7,13.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,M,Y0T4,PT,2025-03-27T00:00:00,2024,32.4
2006,A,0,37.7,13.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,M,Y0T4,PT,2025-03-27T00:00:00,2024,32.0
2007,A,0,37.7,13.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,M,Y0T4,PT,2025-03-27T00:00:00,2024,31.3
2008,A,0,37.7,13.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,M,Y0T4,PT,2025-03-27T00:00:00,2024,30.8
2009,A,0,37.7,13.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,M,Y0T4,PT,2025-03-27T00:00:00,2024,30.1
2010,A,0,37.7,13.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,M,Y0T4,PT,2025-03-27T00:00:00,2024,29.1
2011,A,0,37.7,13.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,M,Y0T4,PT,2025-03-27T00:00:00,2024,28.3
2012,A,0,37.7,13.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,M,Y0T4,PT,2025-03-27T00:00:00,2024,27.5
2013,A,0,37.7,13.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,M,Y0T4,PT,2025-03-27T00:00:00,2024,26.4
2014,A,0,37.7,13.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,M,Y0T4,PT,2025-03-27T00:00:00,2024,25.9
2015,A,0,37.7,13.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,M,Y0T4,PT,2025-03-27T00:00:00,2024,25.5
2016,A,0,37.7,13.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,M,Y0T4,PT,2025-03-27T00:00:00,2024,25.3
2017,A,0,37.7,13.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,M,Y0T4,PT,2025-03-27T00:00:00,2024,25.2
2018,A,0,37.7,13.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,M,Y0T4,PT,2025-03-27T00:00:00,2024,25.1
2019,A,0,37.7,13.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,M,Y0T4,PT,2025-03-27T00:00:00,2024,24.8
2020,A,0,37.7,13.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,M,Y0T4,PT,2025-03-27T00:00:00,2024,24.5
2021,A,0,37.7,13.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,M,Y0T4,PT,2025-03-27T00:00:00,2024,24.1
2022,A,0,37.7,13.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,M,Y0T4,PT,2025-03-27T00:00:00,2024,23.9
