Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,URBANISATION,COMPOSITE_BREAKDOWN,DISABILITY_STATUS,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2021,A,0,"Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. Sample size: 18436 women and 7916 men. Discrimination grounds (7): ethnic or immigration origin, sex, sexual orientation, age, religion or belief,  disability, other. Disaggregation by functional difficulties is for age 18-49 years. Estimates: the aggregated data for both sexes are an indirect estimation from data for women and men.",National Statistical Office - Multiple Indicator Cluster Survey (MICS6),VC_VOV_GDSD,204,None,U,GRD_DIS,None,PT,2025-05-07T00:00:00,2021-2022,1.4
2021,A,0,"Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. Sample size: 18436 women and 7916 men. Discrimination grounds (7): ethnic or immigration origin, sex, sexual orientation, age, religion or belief,  disability, other. Disaggregation by functional difficulties is for age 18-49 years. Estimates: the aggregated data for both sexes are an indirect estimation from data for women and men.",National Statistical Office - Multiple Indicator Cluster Survey (MICS6),VC_VOV_GDSD,204,None,U,GRD_ETHIO,None,PT,2025-05-07T00:00:00,2021-2022,6.5
2021,A,0,"Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. Sample size: 18436 women and 7916 men. Discrimination grounds (7): ethnic or immigration origin, sex, sexual orientation, age, religion or belief,  disability, other. Disaggregation by functional difficulties is for age 18-49 years. Estimates: the aggregated data for both sexes are an indirect estimation from data for women and men.",National Statistical Office - Multiple Indicator Cluster Survey (MICS6),VC_VOV_GDSD,204,None,U,GRD_OTHER,None,PT,2025-05-07T00:00:00,2021-2022,2.0
2021,A,0,"Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. Sample size: 18436 women and 7916 men. Discrimination grounds (7): ethnic or immigration origin, sex, sexual orientation, age, religion or belief,  disability, other. Disaggregation by functional difficulties is for age 18-49 years. Estimates: the aggregated data for both sexes are an indirect estimation from data for women and men.",National Statistical Office - Multiple Indicator Cluster Survey (MICS6),VC_VOV_GDSD,204,None,U,GRD_RELIGION,None,PT,2025-05-07T00:00:00,2021-2022,5.6
2021,A,0,"Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. Sample size: 18436 women and 7916 men. Discrimination grounds (7): ethnic or immigration origin, sex, sexual orientation, age, religion or belief,  disability, other. Disaggregation by functional difficulties is for age 18-49 years. Estimates: the aggregated data for both sexes are an indirect estimation from data for women and men.",National Statistical Office - Multiple Indicator Cluster Survey (MICS6),VC_VOV_GDSD,204,None,U,GRD_SEX,None,PT,2025-05-07T00:00:00,2021-2022,3.15
2021,A,0,"Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. Sample size: 18436 women and 7916 men. Discrimination grounds (7): ethnic or immigration origin, sex, sexual orientation, age, religion or belief,  disability, other. Disaggregation by functional difficulties is for age 18-49 years. Estimates: the aggregated data for both sexes are an indirect estimation from data for women and men.",National Statistical Office - Multiple Indicator Cluster Survey (MICS6),VC_VOV_GDSD,204,None,U,GRD_SEXO,None,PT,2025-05-07T00:00:00,2021-2022,1.05
2021,A,0,"Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. Sample size: 18436 women and 7916 men. Discrimination grounds (7): ethnic or immigration origin, sex, sexual orientation, age, religion or belief,  disability, other. Disaggregation by functional difficulties is for age 18-49 years. Estimates: the aggregated data for both sexes are an indirect estimation from data for women and men.",National Statistical Office - Multiple Indicator Cluster Survey (MICS6),VC_VOV_GDSD,204,F,None,None,None,PT,2025-05-07T00:00:00,2021-2022,15.4
2021,A,0,"Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. Sample size: 18436 women and 7916 men. Discrimination grounds (7): ethnic or immigration origin, sex, sexual orientation, age, religion or belief,  disability, other. Disaggregation by functional difficulties is for age 18-49 years. Estimates: the aggregated data for both sexes are an indirect estimation from data for women and men.",National Statistical Office - Multiple Indicator Cluster Survey (MICS6),VC_VOV_GDSD,204,F,None,None,PD,PT,2025-05-07T00:00:00,2021-2022,37.2
2021,A,0,"Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. Sample size: 18436 women and 7916 men. Discrimination grounds (7): ethnic or immigration origin, sex, sexual orientation, age, religion or belief,  disability, other. Disaggregation by functional difficulties is for age 18-49 years. Estimates: the aggregated data for both sexes are an indirect estimation from data for women and men.",National Statistical Office - Multiple Indicator Cluster Survey (MICS6),VC_VOV_GDSD,204,F,None,None,PWD,PT,2025-05-07T00:00:00,2021-2022,14.4
2021,A,0,"Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. Sample size: 18436 women and 7916 men. Discrimination grounds (7): ethnic or immigration origin, sex, sexual orientation, age, religion or belief,  disability, other. Disaggregation by functional difficulties is for age 18-49 years. Estimates: the aggregated data for both sexes are an indirect estimation from data for women and men.",National Statistical Office - Multiple Indicator Cluster Survey (MICS6),VC_VOV_GDSD,204,F,None,GRD_AGE,None,PT,2025-05-07T00:00:00,2021-2022,5.3
