Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2023,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM,72,M,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2023,99.26
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM,72,M,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2023,65.51
2020,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM,72,M,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2023,67.9
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM,72,M,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2023,66.78
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM,72,M,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2023,68.4
2023,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM,72,M,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2023,71.11
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM_19ICLS,72,None,Y_GE15,None,PT,2025-03-15T00:00:00,2023,68.38
2020,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM_19ICLS,72,None,Y_GE15,None,PT,2025-03-15T00:00:00,2023,70.11
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM_19ICLS,72,None,Y_GE15,None,PT,2025-03-15T00:00:00,2023,67.81
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM_19ICLS,72,None,Y_GE15,None,PT,2025-03-15T00:00:00,2023,71.92
2023,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM_19ICLS,72,None,Y_GE15,None,PT,2025-03-15T00:00:00,2023,73.79
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM_19ICLS,72,None,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2023,91.17
2020,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM_19ICLS,72,None,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2023,95.85
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM_19ICLS,72,None,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2023,94.31
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM_19ICLS,72,None,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2023,97.19
2023,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM_19ICLS,72,None,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2023,98.35
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM_19ICLS,72,None,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2023,66.61
2020,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM_19ICLS,72,None,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2023,67.92
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM_19ICLS,72,None,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2023,65.67
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM_19ICLS,72,None,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2023,69.27
2023,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM_19ICLS,72,None,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2023,71.1
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM_19ICLS,72,F,Y_GE15,None,PT,2025-03-15T00:00:00,2023,68.09
2020,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM_19ICLS,72,F,Y_GE15,None,PT,2025-03-15T00:00:00,2023,68.78
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM_19ICLS,72,F,Y_GE15,None,PT,2025-03-15T00:00:00,2023,65.46
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM_19ICLS,72,F,Y_GE15,None,PT,2025-03-15T00:00:00,2023,70.79
2023,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM_19ICLS,72,F,Y_GE15,None,PT,2025-03-15T00:00:00,2023,71.83
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM_19ICLS,72,F,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2023,79.64
2020,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM_19ICLS,72,F,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2023,89.63
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM_19ICLS,72,F,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2023,89.67
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM_19ICLS,72,F,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2023,90.73
2023,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM_19ICLS,72,F,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2023,96.69
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM_19ICLS,72,F,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2023,67.65
2020,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM_19ICLS,72,F,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2023,67.94
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM_19ICLS,72,F,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2023,64.67
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM_19ICLS,72,F,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2023,70.05
2023,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM_19ICLS,72,F,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2023,71.09
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM_19ICLS,72,M,Y_GE15,None,PT,2025-03-15T00:00:00,2023,68.67
2020,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM_19ICLS,72,M,Y_GE15,None,PT,2025-03-15T00:00:00,2023,71.43
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM_19ICLS,72,M,Y_GE15,None,PT,2025-03-15T00:00:00,2023,70.19
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM_19ICLS,72,M,Y_GE15,None,PT,2025-03-15T00:00:00,2023,73.02
2023,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM_19ICLS,72,M,Y_GE15,None,PT,2025-03-15T00:00:00,2023,75.66
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM_19ICLS,72,M,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2023,95.13
2020,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM_19ICLS,72,M,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2023,97.89
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM_19ICLS,72,M,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2023,95.56
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM_19ICLS,72,M,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2023,98.65
2023,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM_19ICLS,72,M,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2023,98.63
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM_19ICLS,72,M,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2023,65.51
2020,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM_19ICLS,72,M,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2023,67.9
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM_19ICLS,72,M,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2023,66.78
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM_19ICLS,72,M,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2023,68.4
2023,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM_19ICLS,72,M,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2023,71.11
