Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2011,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,72,F,Y0,NUMBER,2025-03-19T00:00:00,2023,1322.0
2012,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,72,F,Y0,NUMBER,2025-03-19T00:00:00,2023,1248.0
2013,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,72,F,Y0,NUMBER,2025-03-19T00:00:00,2023,1218.0
2014,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,72,F,Y0,NUMBER,2025-03-19T00:00:00,2023,1233.0
2015,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,72,F,Y0,NUMBER,2025-03-19T00:00:00,2023,1205.0
2016,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,72,F,Y0,NUMBER,2025-03-19T00:00:00,2023,1196.0
2017,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,72,F,Y0,NUMBER,2025-03-19T00:00:00,2023,1142.0
2018,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,72,F,Y0,NUMBER,2025-03-19T00:00:00,2023,1119.0
2019,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,72,F,Y0,NUMBER,2025-03-19T00:00:00,2023,1106.0
2020,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,72,F,Y0,NUMBER,2025-03-19T00:00:00,2023,1092.0
2021,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,72,F,Y0,NUMBER,2025-03-19T00:00:00,2023,1070.0
2022,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,72,F,Y0,NUMBER,2025-03-19T00:00:00,2023,1052.0
2023,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,72,F,Y0,NUMBER,2025-03-19T00:00:00,2023,1028.0
