Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,BASE_PER,Value
2012,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF1,T,2025-03-21T00:00:00,2023,,3.14346
2013,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF1,T,2025-03-21T00:00:00,2023,,3.30251
2014,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF1,T,2025-03-21T00:00:00,2023,,3.32261
2015,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF1,T,2025-03-21T00:00:00,2023,,2.97164
2016,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF1,T,2025-03-21T00:00:00,2023,,3.20756
2017,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF1,T,2025-03-21T00:00:00,2023,,3.28326
2018,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF1,T,2025-03-21T00:00:00,2023,,3.27439
2019,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF1,T,2025-03-21T00:00:00,2023,,3.29838
2020,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF1,T,2025-03-21T00:00:00,2023,,3.09026
2021,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF1,T,2025-03-21T00:00:00,2023,,3.11174
2022,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF1,T,2025-03-21T00:00:00,2023,,3.07029
2023,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF1,T,2025-03-21T00:00:00,2023,,2.96198
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF11,T,2025-03-21T00:00:00,2023,,0.91159
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF11,T,2025-03-21T00:00:00,2023,,0.93739
2002,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF11,T,2025-03-21T00:00:00,2023,,1.07174
2003,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF11,T,2025-03-21T00:00:00,2023,,1.0094
2004,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF11,T,2025-03-21T00:00:00,2023,,1.02388
2005,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF11,T,2025-03-21T00:00:00,2023,,0.95768
2006,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF11,T,2025-03-21T00:00:00,2023,,0.91493
2007,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF11,T,2025-03-21T00:00:00,2023,,0.83862
2008,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF11,T,2025-03-21T00:00:00,2023,,1.03953
2009,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF11,T,2025-03-21T00:00:00,2023,,1.08799
2010,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF11,T,2025-03-21T00:00:00,2023,,0.99399
2011,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF11,T,2025-03-21T00:00:00,2023,,1.13514
2012,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF11,T,2025-03-21T00:00:00,2023,,1.11346
2013,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF11,T,2025-03-21T00:00:00,2023,,1.22823
2014,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF11,T,2025-03-21T00:00:00,2023,,1.24627
2015,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF11,T,2025-03-21T00:00:00,2023,,1.04961
2016,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF11,T,2025-03-21T00:00:00,2023,,1.19263
2017,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF11,T,2025-03-21T00:00:00,2023,,1.24222
2018,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF11,T,2025-03-21T00:00:00,2023,,1.19494
2019,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF11,T,2025-03-21T00:00:00,2023,,1.2277
2020,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF11,T,2025-03-21T00:00:00,2023,,1.08264
2021,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF11,T,2025-03-21T00:00:00,2023,,1.12784
2022,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF11,T,2025-03-21T00:00:00,2023,,1.12044
2023,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF11,T,2025-03-21T00:00:00,2023,,1.0866
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF121,T,2025-03-21T00:00:00,2023,,1.02602
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF121,T,2025-03-21T00:00:00,2023,,1.01137
2002,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF121,T,2025-03-21T00:00:00,2023,,1.12896
