Year,OBS_STATUS,UNIT_MULT,BASE_PER,SOURCE_DETAIL,SERIES,REF_AREA,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2012,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,72,ISIC4_C,PT,2025-02-27T00:00:00,2023,8.07
2013,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,72,ISIC4_C,PT,2025-02-27T00:00:00,2023,7.99
2014,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,72,ISIC4_C,PT,2025-02-27T00:00:00,2023,7.85
2015,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,72,ISIC4_C,PT,2025-02-27T00:00:00,2023,7.24
2016,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,72,ISIC4_C,PT,2025-02-27T00:00:00,2023,6.5
2017,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,72,ISIC4_C,PT,2025-02-27T00:00:00,2023,6.17
2018,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,72,ISIC4_C,PT,2025-02-27T00:00:00,2023,6.15
2019,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,72,ISIC4_C,PT,2025-02-27T00:00:00,2023,6.1
2020,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,72,ISIC4_C,PT,2025-02-27T00:00:00,2023,5.67
2021,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,72,ISIC4_C,PT,2025-02-27T00:00:00,2023,5.23
2022,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,72,ISIC4_C,PT,2025-02-27T00:00:00,2023,5.38
2023,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,72,ISIC4_C,PT,2025-02-27T00:00:00,2023,5.63
2000,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,72,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,262.34
2001,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,72,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,259.75
2002,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,72,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,273.13
2003,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,72,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,256.6
2004,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,72,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,267.76
2005,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,72,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,282.2
2006,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,72,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,347.43
2007,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,72,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,428.33
2008,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,72,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,409.04
2009,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,72,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,420.75
2010,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,72,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,428.07
2011,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,72,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,467.37
2012,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,72,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,476.63
2013,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,72,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,500.16
2014,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,72,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,534.03
2015,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,72,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,444.75
2016,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,72,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,460.21
2017,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,72,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,443.91
2018,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,72,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,432.56
2019,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,72,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,445.73
2020,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,72,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,373.88
2021,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,72,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,398.09
2022,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,72,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,423.95
2023,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,72,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,424.92
2024,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,72,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,424.48
