Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2018,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,72,AGG_OIL,PT,2025-03-26T00:00:00,2018,100.0
2005,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,72,AGG_TXT,PT,2025-03-26T00:00:00,2023,61.81818
2010,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,72,AGG_TXT,PT,2025-03-26T00:00:00,2023,34.45378
2015,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,72,AGG_TXT,PT,2025-03-26T00:00:00,2023,96.37681
2016,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,72,AGG_TXT,PT,2025-03-26T00:00:00,2023,97.03704
2017,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,72,AGG_TXT,PT,2025-03-26T00:00:00,2023,94.3038
2018,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,72,AGG_TXT,PT,2025-03-26T00:00:00,2023,94.3038
2019,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,72,AGG_TXT,PT,2025-03-26T00:00:00,2023,90.27778
2020,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,72,AGG_TXT,PT,2025-03-26T00:00:00,2023,70.4
2021,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,72,AGG_TXT,PT,2025-03-26T00:00:00,2023,85.50725
2022,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,72,AGG_TXT,PT,2025-03-26T00:00:00,2023,93.78882
2023,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,72,AGG_TXT,PT,2025-03-26T00:00:00,2023,90.18405
