Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,DISABILITY_STATUS,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM_19ICLS,72,M,Y_GE25,None,PT,2025-03-15T00:00:00,2023,22.11
2023,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM_19ICLS,72,M,Y_GE25,None,PT,2025-03-15T00:00:00,2023,21.08
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM_19ICLS,72,M,Y15T24,None,PT,2025-03-15T00:00:00,2023,40.06
2020,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM_19ICLS,72,M,Y15T24,None,PT,2025-03-15T00:00:00,2023,45.8
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM_19ICLS,72,M,Y15T24,None,PT,2025-03-15T00:00:00,2023,44.0
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM_19ICLS,72,M,Y15T24,None,PT,2025-03-15T00:00:00,2023,42.8
2023,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM_19ICLS,72,M,Y15T24,None,PT,2025-03-15T00:00:00,2023,46.94
2009,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEMDIS,72,None,Y_GE15,None,PT,2025-03-15T00:00:00,2023,16.17
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEMDIS,72,None,Y_GE15,None,PT,2025-03-15T00:00:00,2023,20.09
2020,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEMDIS,72,None,Y_GE15,None,PT,2025-03-15T00:00:00,2023,21.02
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEMDIS,72,None,Y_GE15,None,PT,2025-03-15T00:00:00,2023,23.11
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEMDIS,72,None,Y_GE15,None,PT,2025-03-15T00:00:00,2023,23.62
2023,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEMDIS,72,None,Y_GE15,None,PT,2025-03-15T00:00:00,2023,23.38
2009,U,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEMDIS,72,None,Y_GE15,PD,PT,2025-03-15T00:00:00,2023,11.0
2019,U,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEMDIS,72,None,Y_GE15,PD,PT,2025-03-15T00:00:00,2023,19.37
2020,U,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEMDIS,72,None,Y_GE15,PD,PT,2025-03-15T00:00:00,2023,12.87
2021,U,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEMDIS,72,None,Y_GE15,PD,PT,2025-03-15T00:00:00,2023,15.47
2022,U,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEMDIS,72,None,Y_GE15,PD,PT,2025-03-15T00:00:00,2023,20.73
2023,U,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEMDIS,72,None,Y_GE15,PD,PT,2025-03-15T00:00:00,2023,20.19
2009,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEMDIS,72,None,Y_GE15,PWD,PT,2025-03-15T00:00:00,2023,16.39
