Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,None,Y25T74,SKILL_ICTSSHT,PT,2025-03-14T00:00:00,2014,19.8
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,None,Y25T74,SKILL_INTBNK,PT,2025-03-14T00:00:00,2014,4.2
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,None,Y25T74,SKILL_ONLCNS,PT,2025-03-14T00:00:00,2014,2.3
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,None,Y25T74,SKILL_SNTWK,PT,2025-03-14T00:00:00,2014,25.5
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,None,Y25T74,SKILL_VOIP,PT,2025-03-14T00:00:00,2014,4.1
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,None,SKILL_DLDONLD,PT,2025-03-14T00:00:00,2014,17.8
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,None,SKILL_FONLCRS,PT,2025-03-14T00:00:00,2014,1.9
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,None,SKILL_GSINF,PT,2025-03-14T00:00:00,2014,10.1
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,None,SKILL_GSPUR,PT,2025-03-14T00:00:00,2014,2.3
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,None,SKILL_HLTHINF,PT,2025-03-14T00:00:00,2014,13.6
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,None,SKILL_ICTATCH,PT,2025-03-14T00:00:00,2014,17.8
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,None,SKILL_ICTCDV,PT,2025-03-14T00:00:00,2014,16.4
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,None,SKILL_ICTCPT,PT,2025-03-14T00:00:00,2014,29.1
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,None,SKILL_ICTPRGM,PT,2025-03-14T00:00:00,2014,3.9
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,None,SKILL_ICTPST,PT,2025-03-14T00:00:00,2014,9.2
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,None,SKILL_ICTSSHT,PT,2025-03-14T00:00:00,2014,18.5
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,None,SKILL_INTBNK,PT,2025-03-14T00:00:00,2014,2.4
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,None,SKILL_ONLCNS,PT,2025-03-14T00:00:00,2014,1.5
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,None,SKILL_SNTWK,PT,2025-03-14T00:00:00,2014,26.2
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,None,SKILL_VOIP,PT,2025-03-14T00:00:00,2014,2.8
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,Y0T14,SKILL_DLDONLD,PT,2025-03-14T00:00:00,2014,5.8
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,Y0T14,SKILL_FONLCRS,PT,2025-03-14T00:00:00,2014,1.5
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,Y0T14,SKILL_GSINF,PT,2025-03-14T00:00:00,2014,0.8
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,Y0T14,SKILL_HLTHINF,PT,2025-03-14T00:00:00,2014,3.5
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,Y0T14,SKILL_ICTCDV,PT,2025-03-14T00:00:00,2014,5.1
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,Y0T14,SKILL_ICTCPT,PT,2025-03-14T00:00:00,2014,19.2
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,Y0T14,SKILL_ICTSSHT,PT,2025-03-14T00:00:00,2014,6.9
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,Y0T14,SKILL_SNTWK,PT,2025-03-14T00:00:00,2014,8.9
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,Y0T14,SKILL_VOIP,PT,2025-03-14T00:00:00,2014,0.8
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,Y15T24,SKILL_DLDONLD,PT,2025-03-14T00:00:00,2014,24.5
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,Y15T24,SKILL_FONLCRS,PT,2025-03-14T00:00:00,2014,1.6
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,Y15T24,SKILL_GSINF,PT,2025-03-14T00:00:00,2014,12.7
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,Y15T24,SKILL_GSPUR,PT,2025-03-14T00:00:00,2014,1.2
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,Y15T24,SKILL_HLTHINF,PT,2025-03-14T00:00:00,2014,17.6
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,Y15T24,SKILL_ICTATCH,PT,2025-03-14T00:00:00,2014,21.9
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,Y15T24,SKILL_ICTCDV,PT,2025-03-14T00:00:00,2014,25.4
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,Y15T24,SKILL_ICTCPT,PT,2025-03-14T00:00:00,2014,46.1
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,Y15T24,SKILL_ICTPRGM,PT,2025-03-14T00:00:00,2014,6.0
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,Y15T24,SKILL_ICTPST,PT,2025-03-14T00:00:00,2014,12.7
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,Y15T24,SKILL_ICTSSHT,PT,2025-03-14T00:00:00,2014,28.9
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,Y15T24,SKILL_INTBNK,PT,2025-03-14T00:00:00,2014,2.1
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,Y15T24,SKILL_ONLCNS,PT,2025-03-14T00:00:00,2014,1.5
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,Y15T24,SKILL_SNTWK,PT,2025-03-14T00:00:00,2014,50.9
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,Y15T24,SKILL_VOIP,PT,2025-03-14T00:00:00,2014,3.5
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,Y25T74,SKILL_DLDONLD,PT,2025-03-14T00:00:00,2014,18.7
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,Y25T74,SKILL_FONLCRS,PT,2025-03-14T00:00:00,2014,2.2
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,Y25T74,SKILL_GSINF,PT,2025-03-14T00:00:00,2014,11.6
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,Y25T74,SKILL_GSPUR,PT,2025-03-14T00:00:00,2014,3.2
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,Y25T74,SKILL_HLTHINF,PT,2025-03-14T00:00:00,2014,14.9
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,Y25T74,SKILL_ICTATCH,PT,2025-03-14T00:00:00,2014,20.8
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,Y25T74,SKILL_ICTCDV,PT,2025-03-14T00:00:00,2014,16.5
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,Y25T74,SKILL_ICTCPT,PT,2025-03-14T00:00:00,2014,26.7
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,Y25T74,SKILL_ICTPRGM,PT,2025-03-14T00:00:00,2014,4.1
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,Y25T74,SKILL_ICTPST,PT,2025-03-14T00:00:00,2014,10.3
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,Y25T74,SKILL_ICTSSHT,PT,2025-03-14T00:00:00,2014,18.2
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,Y25T74,SKILL_INTBNK,PT,2025-03-14T00:00:00,2014,3.1
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,Y25T74,SKILL_ONLCNS,PT,2025-03-14T00:00:00,2014,1.9
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,Y25T74,SKILL_SNTWK,PT,2025-03-14T00:00:00,2014,22.7
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,F,Y25T74,SKILL_VOIP,PT,2025-03-14T00:00:00,2014,3.1
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,None,SKILL_DLDONLD,PT,2025-03-14T00:00:00,2014,24.6
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,None,SKILL_FONLCRS,PT,2025-03-14T00:00:00,2014,2.9
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,None,SKILL_GSINF,PT,2025-03-14T00:00:00,2014,14.8
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,None,SKILL_GSPUR,PT,2025-03-14T00:00:00,2014,3.3
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,None,SKILL_HLTHINF,PT,2025-03-14T00:00:00,2014,14.3
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,None,SKILL_ICTATCH,PT,2025-03-14T00:00:00,2014,22.6
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,None,SKILL_ICTCDV,PT,2025-03-14T00:00:00,2014,22.8
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,None,SKILL_ICTCPT,PT,2025-03-14T00:00:00,2014,34.1
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,None,SKILL_ICTPRGM,PT,2025-03-14T00:00:00,2014,5.9
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,None,SKILL_ICTPST,PT,2025-03-14T00:00:00,2014,14.6
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,None,SKILL_ICTSSHT,PT,2025-03-14T00:00:00,2014,21.1
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,None,SKILL_INTBNK,PT,2025-03-14T00:00:00,2014,4.1
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,None,SKILL_ONLCNS,PT,2025-03-14T00:00:00,2014,2.1
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,None,SKILL_SNTWK,PT,2025-03-14T00:00:00,2014,32.0
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,None,SKILL_VOIP,PT,2025-03-14T00:00:00,2014,4.5
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,Y0T14,SKILL_DLDONLD,PT,2025-03-14T00:00:00,2014,4.7
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,Y0T14,SKILL_FONLCRS,PT,2025-03-14T00:00:00,2014,0.6
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,Y0T14,SKILL_GSINF,PT,2025-03-14T00:00:00,2014,1.7
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,Y0T14,SKILL_HLTHINF,PT,2025-03-14T00:00:00,2014,3.8
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,Y0T14,SKILL_ICTCDV,PT,2025-03-14T00:00:00,2014,7.8
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,Y0T14,SKILL_ICTCPT,PT,2025-03-14T00:00:00,2014,18.0
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,Y0T14,SKILL_ICTSSHT,PT,2025-03-14T00:00:00,2014,4.9
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,Y0T14,SKILL_SNTWK,PT,2025-03-14T00:00:00,2014,8.9
