Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,BASE_PER,Value
2011,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,204,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,0.17
2012,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,204,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,0.16
2013,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,204,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,0.21
2014,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,204,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,0.35
2015,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,204,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,0.35
2016,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,204,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,0.4
2017,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,204,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,0.33
2018,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,204,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,0.12
2019,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,204,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,0.47
2020,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,204,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,0.5
2021,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,204,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,0.49
2022,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,204,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,0.56
2000,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,204,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.078
2001,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,204,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.09
2002,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,204,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.1
2003,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,204,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.109
2004,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,204,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.111
2005,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,204,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.121
2006,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,204,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.141
2007,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,204,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.155
2008,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,204,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.15
2009,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,204,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.16
2010,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,204,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.171
2011,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,204,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.16
2012,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,204,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.146
2013,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,204,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.144
2014,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,204,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.151
2015,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,204,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.158
2016,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,204,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.188
2017,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,204,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.182
2018,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,204,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.185
2019,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,204,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.17
2020,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,204,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.175
2021,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,204,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.118
2022,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,204,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.117
2000,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,204,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.134
2001,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,204,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.153
2002,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,204,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.149
2003,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,204,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.138
2004,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,204,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.147
2005,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,204,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.129
2006,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,204,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.116
2007,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,204,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.121
2008,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,204,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.128
2009,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,204,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.159
2010,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,204,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.159
2011,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,204,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.18
2012,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,204,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.169
2013,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,204,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.212
2014,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,204,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.325
2015,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,204,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.306
2016,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,204,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.329
2017,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,204,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.273
2018,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,204,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.096
2019,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,204,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.336
2020,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,204,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.346
2021,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,204,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.323
2022,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,204,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.344
