Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2021,A,0,Cotonou. Maize. Retail price,Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,AG_FPA_COMM,204,CPC2_1_112,IX,2025-03-21T00:00:00,2024,0.47
2022,A,0,Cotonou. Maize. Retail price,Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,AG_FPA_COMM,204,CPC2_1_112,IX,2025-03-21T00:00:00,2024,1.36
2023,A,0,Cotonou. Maize. Retail price,Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,AG_FPA_COMM,204,CPC2_1_112,IX,2025-03-21T00:00:00,2024,0.02
2024,A,0,Cotonou. Maize. Retail price,Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,AG_FPA_COMM,204,CPC2_1_112,IX,2025-03-21T00:00:00,2024,0.45
2019,A,0,Cotonou. Rice (imported). Retail price,Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,AG_FPA_COMM,204,CPC2_1_113,IX,2025-03-21T00:00:00,2024,0.46
2020,A,0,Cotonou. Rice (imported). Retail price,Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,AG_FPA_COMM,204,CPC2_1_113,IX,2025-03-21T00:00:00,2024,3.92
2021,A,0,Cotonou. Rice (imported). Retail price,Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,AG_FPA_COMM,204,CPC2_1_113,IX,2025-03-21T00:00:00,2024,-0.57
2022,A,0,Cotonou. Rice (imported). Retail price,Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,AG_FPA_COMM,204,CPC2_1_113,IX,2025-03-21T00:00:00,2024,2.83
2023,A,0,Cotonou. Rice (imported). Retail price,Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,AG_FPA_COMM,204,CPC2_1_113,IX,2025-03-21T00:00:00,2024,-0.66
2024,A,0,Cotonou. Rice (imported). Retail price,Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,AG_FPA_COMM,204,CPC2_1_113,IX,2025-03-21T00:00:00,2024,0.53
2018,A,0,Cotonou. Sorghum meal. Retail price,Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,AG_FPA_COMM,204,CPC2_1_114,IX,2025-03-21T00:00:00,2024,2.45
2019,A,0,Cotonou. Sorghum meal. Retail price,Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,AG_FPA_COMM,204,CPC2_1_114,IX,2025-03-21T00:00:00,2024,-9.39
2020,A,0,Cotonou. Sorghum meal. Retail price,Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,AG_FPA_COMM,204,CPC2_1_114,IX,2025-03-21T00:00:00,2024,-7.04
2021,A,0,Cotonou. Sorghum meal. Retail price,Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,AG_FPA_COMM,204,CPC2_1_114,IX,2025-03-21T00:00:00,2024,1.84
2022,A,0,Cotonou. Sorghum meal. Retail price,Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,AG_FPA_COMM,204,CPC2_1_114,IX,2025-03-21T00:00:00,2024,-1.74
2023,A,0,Cotonou. Sorghum meal. Retail price,Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,AG_FPA_COMM,204,CPC2_1_114,IX,2025-03-21T00:00:00,2024,-0.4
2024,A,0,Cotonou. Sorghum meal. Retail price,Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,AG_FPA_COMM,204,CPC2_1_114,IX,2025-03-21T00:00:00,2024,-0.26
