Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2012,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,204,None,PT,2025-03-21T00:00:00,2017-2021,0.06506
2013,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,204,None,PT,2025-03-21T00:00:00,2017-2021,0.07378
2014,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,204,None,PT,2025-03-21T00:00:00,2017-2021,0.09383
2015,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,204,None,PT,2025-03-21T00:00:00,2017-2021,0.1058
2016,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,204,None,PT,2025-03-21T00:00:00,2017-2021,0.12473
2017,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,204,None,PT,2025-03-21T00:00:00,2017-2021,0.1509
2018,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,204,None,PT,2025-03-21T00:00:00,2017-2021,0.15697
2019,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,204,None,PT,2025-03-21T00:00:00,2017-2021,0.16001
2020,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,204,None,PT,2025-03-21T00:00:00,2017-2021,0.17472
2021,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,204,None,PT,2025-03-21T00:00:00,2017-2021,0.18851
2022,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,204,None,PT,2025-03-21T00:00:00,2017-2021,0.18667
2017,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKW_QLTRB,204,DL_EXTREME,PT,2023-03-08T00:00:00,2021,7.20899
2018,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKW_QLTRB,204,DL_EXTREME,PT,2023-03-08T00:00:00,2021,12.13929
2019,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKW_QLTRB,204,DL_EXTREME,PT,2023-03-08T00:00:00,2021,14.75959
2020,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKW_QLTRB,204,DL_EXTREME,PT,2023-03-08T00:00:00,2021,22.14453
2021,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKW_QLTRB,204,DL_EXTREME,PT,2023-03-08T00:00:00,2021,13.68895
2017,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKW_QLTRB,204,DL_HIGH,PT,2023-03-08T00:00:00,2021,4.94903
2018,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKW_QLTRB,204,DL_HIGH,PT,2023-03-08T00:00:00,2021,8.44906
2019,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKW_QLTRB,204,DL_HIGH,PT,2023-03-08T00:00:00,2021,17.75182
2020,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKW_QLTRB,204,DL_HIGH,PT,2023-03-08T00:00:00,2021,14.20567
