Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,CUST_BREAKDOWN_LB,Value
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_MGCI,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,4085.7
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_PSG,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,0.0
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_PSG,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,0.0
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_PSG,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,0.0
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_PSG,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,0.0
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_PSG,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,0.0
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_PSG,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,0.0
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_SAF,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,13.9
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_SAF,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,22.9
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_SAF,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,17.5
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_SAF,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,16.7
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_SAF,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,10.3
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_SAF,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,6.0
