Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,BASE_PER,Value
2015,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF1,T,2025-03-21T00:00:00,2023,,2.63698
2016,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF1,T,2025-03-21T00:00:00,2023,,2.41047
2017,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF1,T,2025-03-21T00:00:00,2023,,1.88946
2018,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF1,T,2025-03-21T00:00:00,2023,,1.99731
2019,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF1,T,2025-03-21T00:00:00,2023,,1.85324
2020,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF1,T,2025-03-21T00:00:00,2023,,1.8779
2021,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF1,T,2025-03-21T00:00:00,2023,,1.91612
2022,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF1,T,2025-03-21T00:00:00,2023,,1.90426
2023,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF1,T,2025-03-21T00:00:00,2023,,1.84546
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF11,T,2025-03-21T00:00:00,2023,,0.33831
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF11,T,2025-03-21T00:00:00,2023,,0.28503
2002,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF11,T,2025-03-21T00:00:00,2023,,0.35553
2003,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF11,T,2025-03-21T00:00:00,2023,,0.25692
2004,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF11,T,2025-03-21T00:00:00,2023,,0.26357
2005,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF11,T,2025-03-21T00:00:00,2023,,0.26496
2006,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF11,T,2025-03-21T00:00:00,2023,,0.26935
