Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2022,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.14
2023,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.13
2000,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,29.5
2001,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,26.7
2002,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,23.6
2003,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,21.6
2004,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,19.2
2005,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,17.3
2006,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,15.6
2007,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,14.8
2008,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,13.8
2009,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,12.9
2010,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,12.4
