Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,COMMENT_OBS,Value
2014,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,204,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",7.0
2015,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,204,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",7.0
2016,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,204,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",6.0
2017,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,204,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",6.0
2018,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,204,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",6.0
2019,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,204,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",6.0
2020,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,204,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",6.0
2021,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,204,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",7.0
2022,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,204,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",6.0
2023,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,204,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",6.0
2024,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,204,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",29.0
2025,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,204,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",29.0
2021,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLNT,204,None,NUMBER,2025-04-21T00:00:00,2025,"Unicameral: - (National Assembly), Data valid as of 1 Jan of given year",83.0
2022,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLNT,204,None,NUMBER,2025-04-21T00:00:00,2025,"Unicameral: - (National Assembly), Data valid as of 1 Jan of given year",81.0
2023,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLNT,204,None,NUMBER,2025-04-21T00:00:00,2025,"Unicameral: - (National Assembly), Data valid as of 1 Jan of given year",109.0
2024,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLNT,204,None,NUMBER,2025-04-21T00:00:00,2025,"Unicameral: - (National Assembly), Data valid as of 1 Jan of given year",109.0
2025,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLNT,204,None,NUMBER,2025-04-21T00:00:00,2025,"Unicameral: - (National Assembly), Data valid as of 1 Jan of given year",109.0
