Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,EDUCATION_LEV,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2022,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACS_ELECT,204,ISCED11_1,PT,2025-03-05T00:00:00,2022,33.65605
2016,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACS_ELECT,204,ISCED11_2,PT,2025-03-05T00:00:00,2022,68.47886
2020,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACS_ELECT,204,ISCED11_2,PT,2025-03-05T00:00:00,2022,78.06283
2022,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACS_ELECT,204,ISCED11_2,PT,2025-03-05T00:00:00,2022,81.01788
2016,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACS_ELECT,204,ISCED11_3,PT,2025-03-05T00:00:00,2022,87.72846
2022,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACS_ELECT,204,ISCED11_3,PT,2025-03-05T00:00:00,2022,94.64832
2014,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACS_H2O,204,ISCED11_1,PT,2025-03-05T00:00:00,2022,51.85836
2016,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACS_H2O,204,ISCED11_1,PT,2025-03-05T00:00:00,2022,44.61415
2019,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACS_H2O,204,ISCED11_1,PT,2025-03-05T00:00:00,2022,40.47875
2021,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACS_H2O,204,ISCED11_1,PT,2025-03-05T00:00:00,2022,54.87624
2022,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACS_H2O,204,ISCED11_1,PT,2025-03-05T00:00:00,2022,53.01062
2020,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACS_H2O,204,ISCED11_2,PT,2025-03-05T00:00:00,2022,80.68063
2022,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACS_H2O,204,ISCED11_2,PT,2025-03-05T00:00:00,2022,83.21871
2022,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACS_H2O,204,ISCED11_3,PT,2025-03-05T00:00:00,2022,92.27829
2022,A,0,NA Data extracted on 25 February 2025.,SE_ACS_INTNT,204,AGG_2_3,PT,2025-03-05T00:00:00,2022,4.01261
2020,A,0,NA Data extracted on 25 February 2025.,SE_ACS_INTNT,204,ISCED11_2,PT,2025-03-05T00:00:00,2022,3.9267
2022,A,0,NA Data extracted on 25 February 2025.,SE_ACS_INTNT,204,ISCED11_2,PT,2025-03-05T00:00:00,2022,3.57634
2022,A,0,NA Data extracted on 25 February 2025.,SE_ACS_INTNT,204,ISCED11_3,PT,2025-03-05T00:00:00,2022,4.74006
2020,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACS_SANIT,204,ISCED11_2,PT,2025-03-05T00:00:00,2022,72.98429
2022,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACS_SANIT,204,ISCED11_2,PT,2025-03-05T00:00:00,2022,77.71664
2022,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACS_SANIT,204,ISCED11_3,PT,2025-03-05T00:00:00,2022,82.56881
